COURSE,SIZE,SIZE_CAT,GENDER,FACULTY
CONS 200 001,167,1,0,Forestry
WRDS 150,27,0,0,Arts
FNH 302 001,35,0,1,LFS
URST 200 101,104,1,1,Arts
COGS 200 004,165,1,1,Science
LAST 100 101,21,0,1,Arts
NEST 301 001,46,1,0,Arts
RELG 330 001,16,0,1,Arts
EPSE 308 003,195,1,0,Education
BUSI 465 101,3,0,1,CBA
NEST 304 001,49,1,0,Arts
GREK 201 001,15,0,0,Arts
KORN 415A 001,23,0,0,Arts
CIVIL 418 101,70,1,1,Applied Science
SPAN 321 101,17,0,0,Arts
DANI 200 001,7,0,1,Arts
WOOD 494 101,32,0,0,Forestry
KIN 361 001,107,1,1,Kinesiology
GRS 290 001,34,0,0,LFS
MICB 402 101,47,1,1,Science
ELEC 421 101,30,0,0,Applied Science
TIBT 100 001,12,0,1,Arts
IGEN 450 101,38,0,1,Applied Science
EDST 401 007,36,0,1,Education
SOCI 303 101,44,1,0,Arts
LIBE 463 63A,29,0,0,Education
HINU 102 001,11,0,1,Arts
LING 431 001,16,0,0,Arts
EPSE 406 63C,33,0,0,Education
BMEG 201 101,15,0,1,School of BioMed Eng
ECON 471 001,89,1,1,Econ
LAW 471D 001,20,0,1,Law
HEBR 201 001,10,0,1,Arts
MDVL 210 002,22,0,1,Arts
ITAL 101 104,33,0,0,Arts
MUSC 120 001,70,1,1,Music
VISA 320 001,20,0,1,Arts
PHYS 101 103,245,1,0,Science
LATN 350 001,13,0,0,Arts
KIN 465 001,60,1,0,Kinesiology
